"description","category","subcategory","merchant","amount","is_expense"
"SACCO contribution","Financial Expenses","Investment Contributions","Airtel Money",933.16,1
"Salon manicure","Personal Care & Grooming","Salons & Beauty Treatments","Paks Cosmetics Kenya",428.76,1
"Kitenge for Mama","Gifts & Donations","Wedding & Birthday Gifts","Kenya Wildlife Trust",151.4,1
"Dog food kilo","Shopping","Pet Supplies","Garissa Mall",344.39,1
"Restaurants purchase","Food & Dining","Restaurants","Seven Seafood & Grill",17575.7,1
"Hobby & Craft Supplies purchase","Shopping","Hobby & Craft Supplies","Meru Greenwood Park Mall",622.85,1
"Nyumba ya Oct","Housing & Home Expenses","Rent","Space and Style Ltd",440.67,1
"Late library books","Miscellaneous & Unexpected Expenses","Fines & Penalties","Legal Fees",755.28,1
"Acrylics refill","Personal Care & Grooming","Manicure & Pedicure","MAC Cosmetics Kenya",277.86,1
"Dog food kilo","Pets & Animal Care","Pet Food & Treats","Animal Rights & Protection Kenya",197.63,1
"KRA Filing","Legal & Professional Services","Tax Preparation Services","Legal Aid Kenya",451.94,1
"KRA filing fee","Legal & Professional Services","Tax Preparation Services","LJA Associates Advocates",964.65,1
"Fao ya Afya","Financial Expenses","Insurance Premiums","Insurance Regulatory Authority",876.21,1
"Stapler na wino","Business & Work Expenses","Office Supplies","M-Pesa Business Till",120.16,1
"DSTV subscription","Miscellaneous & Unexpected Expenses","Subscriptions & Memberships","Legal Fees",900.22,1
"Exercise books","Education & Learning","School Supplies","Mkuki na Nyota Publishers",574.59,1
"Land dispute retainer","Legal & Professional Services","Lawyer Fees","Small Business Legal Consultants Kenya",691.09,1
"Gel polish change","Personal Care & Grooming","Manicure & Pedicure","The Blow Dry Bar",962.74,1
"Knitwear class","Education & Learning","Online Courses","iHub Nairobi",945.6,1
"Zumba class","Health & Fitness","Fitness Classes","Kenya Bodybuilding",732.37,1
"Jua revision notes","Education & Learning","Educational Subscriptions","Udemy",677.25,1
"Ear lobe studs","Personal Care & Grooming","Tattoos & Piercings","Linton's Beauty World",547.13,1
"Waste Management & Recycling purchase","Utilities","Waste Management & Recycling","Davis & Shirtliff",241.11,1
"Gym fee","Health & Fitness","Gym Memberships","Body By Alison Caroline",583.78,1
"Kazi complete","Income & Earnings","Side Hustle Earnings","Freelance Income",519.63,1
"Chips funga","Food & Dining","Takeout & Delivery","Artcaffe",174.57,1
"Billboard advert","Business & Work Expenses","Advertising & Marketing","Google Workspace Kenya",152.49,1
"Late library books","Miscellaneous & Unexpected Expenses","Fines & Penalties","Overdraft Fees",201.57,1
"Shamba rent","Income & Earnings","Rental Income","Gifts Received",764.21,1
"Trip essentials","Travel & Vacation","Travel Accessories","Jocky Tours and Safaris",858.34,1
"Shapeshifters fee","Health & Fitness","Gym Memberships","Mediheal Group of Hospitals",74.72,1
"Land case retainer","Legal & Professional Services","Lawyer Fees","Legal Translation & Documentation Kenya",375.61,1
"Land dispute retainer","Legal & Professional Services","Lawyer Fees","Njeri Kariuki Advocates",25.15,1
"Zuku fiber bill","Utilities","Cable & Streaming Services","KenolKobil",407.33,1
"School uniform","Childcare & Parenting","Children's Clothing & Shoes","Child Welfare Society of Kenya",791.16,1
"Hesabu textbook","Education & Learning","Books & Educational Materials","Phoenix Publishers",718.31,1
"Waiter asante","Gifts & Donations","Tips & Gratuities","M-Pesa Foundation",493.26,1
"Dog chew toy","Pets & Animal Care","Pet Toys & Accessories","Mammals & More Pet Store",971.79,1
"Nyumba letting fee","Income & Earnings","Rental Income","Land Leasing",710.28,1
"Shamba investment","Financial Expenses","Investment Contributions","Citibank N.A. Kenya",960.87,1
"Nyumba safi","Housing & Home Expenses","Home Cleaning Services","KK Security Ltd",679.91,1
"Lotion na scrub","Personal Care & Grooming","Skincare & Cosmetics","Amadiva Beauty",747.15,1
"Land case retainer","Legal & Professional Services","Lawyer Fees","Kilimani Associate Advocates",503.76,1
"Petrol full tank","Utilities","Gas","SEACOM Kenya",732.35,1
"Baby class fees","Childcare & Parenting","Daycare & Preschool Fees","Happy Hearts Daycare",329.23,1
"Scooter hire CBD","Transportation","Bike & Scooter Rentals","Kenya Pipeline Company",451.69,1
"Filing case","Legal & Professional Services","Court Fees","Oil,Gas & Energy Law Kenya",894.42,1
"Dogs jabs","Pets & Animal Care","Veterinary Bills & Pet Insurance","Pets Paradise Kenya",995.59,1
"Filamu Poa","Leisure & Entertainment","Streaming Services","Planet Media Cinemas",457.7,1
"Nyumba ya Agosti","Housing & Home Expenses","Rent","KCB Group Limited",937.84,1
"Mama mboga","Gifts & Donations","Tips & Gratuities","Kenya Wildlife Trust",916.64,1
"Zumba class fee","Health & Fitness","Fitness Classes","Chiromo Lane Medical Centre",70.2,1
"Watoto support","Gifts & Donations","Charitable Donations","World Food Programme Kenya",764.57,1
"Internet Service purchase","Utilities","Internet Service","Grundfos Kenya",37.63,1
"KRA payment","Financial Expenses","Taxes","Kenya Deposit Insurance Corporation",608.85,1
"Scooter hire CBD","Transportation","Bike & Scooter Rentals","Shell",544.83,1
"Gel polish change","Personal Care & Grooming","Manicure & Pedicure","Beauty Booth Kenya",298.92,1
"Nairobi trip","Travel & Vacation","Flights","Shalom Agencies",219.17,1
"Kitenge wall hanging","Shopping","Home Decor & Furnishings","Moyale Mall",261.2,1
"Mandazi na chai","Food & Dining","Cafés & Coffee Shops","Java House",570.13,1
"Salon refill","Income & Earnings","Refunds & Rebates","Gifts Received",485.28,1
"Fundis bill","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Repairs",756.25,1
"Collar ya Paka","Pets & Animal Care","Pet Toys & Accessories","The Ark Veterinary Hospital",538.45,1
"Thika road pass","Transportation","Road Tolls","Kenya Airports Authority",512.25,1
"Pilau masala mix","Food & Dining","Specialty Foods","Medina Palms Restaurant",130.8,1
"Matatu fare","Income & Earnings","Refunds & Rebates","Refunds",341.79,1
"Baby Zawadi school","Childcare & Parenting","Daycare & Preschool Fees","Pampers Kenya",762.98,1
"Shujaa Derby tix","Leisure & Entertainment","Sporting Events","Citizen TV Kenya",395.53,1
"Shamba tools disappeared","Miscellaneous & Unexpected Expenses","Lost or Stolen Items","Overdraft Fees",93.93,1
"Web design job","Business & Work Expenses","Freelancer Payments","Monday.com Kenya",795.19,1
"Workshops & Seminars purchase","Education & Learning","Workshops & Seminars","Great Lakes University of Kisumu",546.31,1
"Vitenge kwa Mama","Shopping","Clothing & Accessories","The Village Market",828.17,1
"Bundle ya wiki","Utilities","Mobile Phone Bills","Zuku",105.48,1
"Kitenge wall hanging","Shopping","Home Decor & Furnishings","Gikomba Market",23.67,1
"Overdue library book","Miscellaneous & Unexpected Expenses","Fines & Penalties","Repairs",713.87,1
"Land case retainer","Legal & Professional Services","Lawyer Fees","Law Society of Kenya",358.77,1
"School uniform kiasi","Childcare & Parenting","Children's Clothing & Shoes","Naivas Supermarket Baby Section",503.16,1
"Mama mboga","Gifts & Donations","Tips & Gratuities","Cross Catholic Outreach Kenya",938.59,1
"Tyre puncture repair","Transportation","Car Maintenance & Repairs","MOL Logistics Kenya",961.4,1
"Billboard campaign creatives","Business & Work Expenses","Advertising & Marketing","iBiz Africa",666.83,1
"Dawa ya malaria","Health & Fitness","Prescription Medications","Nairobi Equator Hospital",331.1,1
"Title deed notarized","Legal & Professional Services","Notary Services","Environmental & Conservation Law Kenya",490.5,1
"Zawadi harusi","Gifts & Donations","Wedding & Birthday Gifts","Islamic Relief Kenya",577.01,1
"Shylock loan pay","Financial Expenses","Loan Repayments","Yehu Microfinance Services",180.16,1
"Expressway pass","Transportation","Road Tolls","General Motors East Africa Ltd.",538.46,1
"Mamas kitenge cloth","Gifts & Donations","Holiday Gifts","Shining Hope for Communities (SHOFCO)",440.13,1
"Maize flour refund","Income & Earnings","Refunds & Rebates","YouTube Ad Revenue",362.72,1
"Shylock Deni","Financial Expenses","Loan Repayments","Platinum Credit",226.0,1
"Website design","Income & Earnings","Freelance Income","Land Leasing",910.57,1
"Mall parking","Transportation","Parking Fees","Kenya Ports Authority",800.69,1
"Late library books","Miscellaneous & Unexpected Expenses","Fines & Penalties","Overdraft Fees",865.26,1
"Paracetamol na dawa","Health & Fitness","Over-the-Counter Medicines","Metropolitan Hospital",794.7,1
"Chai and mandazi","Business & Work Expenses","Client Meals & Entertainment","Kenya Industrial Property Institute",294.76,1
"DSTV monthly","Miscellaneous & Unexpected Expenses","Subscriptions & Memberships","Legal Fees",922.02,1
"Mrembo scent","Personal Care & Grooming","Perfumes & Fragrances","Beauty Options Kenya",957.42,1
"Umeme Stima","Utilities","Electricity","Africa Oil Corporation",958.86,1
"DSTV premium package","Utilities","Cable & Streaming Services","M-KOPA Solar",619.87,1
"Wellness session","Health & Fitness","Mental Health Therapy","Anytime Fitness",619.8,1
"Kabla appointment","Health & Fitness","Dental Care","Haltons Pharmacy",876.69,1
"Advocate retainer fee","Business & Work Expenses","Professional Services","Kenya Export Promotion and Branding Agency",717.06,1
"X-ray plate","Health & Fitness","Medical Bills","Penda Health",479.73,1
"Matatu fare","Transportation","Vehicle Leasing & Rentals","Total",630.73,1
"Electricity purchase","Utilities","Electricity","Kenya Solar Energy Limited",92.43,1
"Chama contribution","Financial Expenses","Retirement Savings","Posta Kenya",729.92,1
"Nganya fare","Housing & Home Expenses","Moving & Relocation","Harvest Facility Management Group Ltd",613.45,1
"Bundle ya data","Utilities","Mobile Phone Bills","Davis & Shirtliff",10.75,1
"SACCO contribution","Financial Expenses","Investment Contributions","Cellulant",816.4,1
"Land dispute fees","Legal & Professional Services","Lawyer Fees","Kilimani Associate Advocates",266.89,1
"Termite fumigation job","Housing & Home Expenses","Pest Control","Pacis Insurance Company",949.52,1
"Driving license renewal","Transportation","Vehicle Registration & Licensing","Offshore Global Logistics Ltd.",123.78,1
"Bedsitter deposit","Housing & Home Expenses","Moving & Relocation","ACG Group Limited",854.25,1
"Maji safi","Utilities","Water","Tropical Power Energy Group",23.56,1
"Logo design","Business & Work Expenses","Freelancer Payments","Brand Kenya Board",578.64,1
"Project Management Exam","Education & Learning","Professional Certifications","The Co-operative University of Kenya",764.22,1
"Dog food kibble","Pets & Animal Care","Pet Food & Treats","Pet Zone Kenya",631.49,1
"Dawa ya paka","Pets & Animal Care","Pet Medications","Best Friends Pet Store",103.64,1
"Dog food","Shopping","Pet Supplies","Quickmart Supermarket",622.68,1
"Dog chew toy","Pets & Animal Care","Pet Toys & Accessories","Best Friends Pet Store",429.09,1
"Chama contribution","Financial Expenses","Retirement Savings","Yehu Microfinance Services",167.17,1
"Mortgage Payments purchase","Housing & Home Expenses","Mortgage Payments","Furniture Palace",464.45,1
"Dawa ya homa","Childcare & Parenting","Children's Health & Medical Care","Kids Wonderland Toys & Gifts",38.97,1
"Petrol pump","Utilities","Gas","TotalEnergies Marketing Kenya Plc",853.31,1
"Sales incentives","Income & Earnings","Bonuses & Commissions","Lottery Winnings",730.5,1
"Jah Cure tix","Leisure & Entertainment","Concerts & Live Events","Kenya Film Classification Board",647.63,1
"Termite fumigation fee","Housing & Home Expenses","Pest Control","Rentokil Initial Kenya",659.86,1
"Stapler refills","Business & Work Expenses","Office Supplies","PesaPal",313.31,1
"Fuel for matatu","Utilities","Gas","Africa Oil Corporation",401.66,1
"Nairobi-Mombasa Express","Travel & Vacation","Flights","Kopje Tops",359.98,1
"Wristwatch repair","Shopping","Jewelry & Watches","Mombasa Mall",977.27,1
"Masala chai mkate","Food & Dining","Cafés & Coffee Shops","Seafront Cafe",835.4,1
"Knit club fee","Education & Learning","Workshops & Seminars","Masinde Muliro University of Science and Technology",210.92,1
"Petrol pump","Utilities","Gas","Davis & Shirtliff",189.83,1
"Ear lobe piercing","Personal Care & Grooming","Tattoos & Piercings","Glow Secrets Kenya",843.4,1
"YouTube Premium","Miscellaneous & Unexpected Expenses","Subscriptions & Memberships","Overdraft Fees",328.31,1
"Curtains za chumba","Shopping","Home Decor & Furnishings","Buffalo Mall Naivasha",146.08,1
"Case filing fees","Legal & Professional Services","Court Fees","Njeri Kariuki Advocates",78.83,1
"Jazz festival tix","Leisure & Entertainment","Concerts & Live Events","Seven Pillars",110.15,1
"Late library books","Miscellaneous & Unexpected Expenses","Fines & Penalties","Repairs",967.09,1
"Nyumba safi kabisa","Housing & Home Expenses","Home Cleaning Services","Kenya Orient Insurance Limited",44.55,1
"Chess set","Leisure & Entertainment","Board Games & Puzzles","Karen Blixen Camp Limited",954.69,1
"Matatu fare","Gifts & Donations","Tips & Gratuities","World Concern Kenya",768.29,1
"Mbwa chakula","Shopping","Pet Supplies","Galleria Mall",390.29,1
"Title deed stamp","Legal & Professional Services","Notary Services","NGO & Charity Legal Services Kenya",989.45,1
"Dog chews","Pets & Animal Care","Pet Toys & Accessories","Livestock Veterinary Services Kenya",929.18,1
"Dawa ya paka","Pets & Animal Care","Pet Medications","Kenya Wildlife Veterinary Unit",38.66,1
"Watoto support","Gifts & Donations","Charitable Donations","Hands of Compassion International Kenya",594.61,1
"Servants pay","Housing & Home Expenses","Home Cleaning Services","Basco Paints",919.02,1
"KRA Payment","Financial Expenses","Taxes","Remu Microfinance Bank",861.5,1
"Data science class","Education & Learning","Online Courses","The Aga Khan Academy Nairobi",266.53,1
"Pension contribution","Legal & Professional Services","Financial Advisors","eCitizen Kenya Legal Portal",114.07,1
"Dawa ya malaria","Health & Fitness","Prescription Medications","Metropolitan Hospital",45.99,1
"Investment Contributions purchase","Financial Expenses","Investment Contributions","Maisha Microfinance Bank",896.17,1
"Mbwa salon","Pets & Animal Care","Grooming & Pet Spa Services","Professional Pet Photography Kenya",578.36,1
"Cake deposit","Gifts & Donations","Wedding & Birthday Gifts","St. John's Ambulance Kenya",176.96,1
"Mama mboga","Gifts & Donations","Tips & Gratuities","Operation Smile Kenya",778.09,1
"Return ticket","Travel & Vacation","Flights","Magical Africa Safaris",173.74,1
"Spin class","Health & Fitness","Fitness Classes","Barizi Spa & Wellness Center",794.48,1
"KCPE registration","Education & Learning","Test Preparation & Exams Fees","Nova Pioneer Schools",397.43,1
"Acrylics refill","Personal Care & Grooming","Manicure & Pedicure","Linton's Beauty World",532.25,1
"Salon treatment","Income & Earnings","Gifts Received","Land Leasing",904.91,1
"Exercise books","Shopping","Books & Stationery","Two Rivers Mall",862.38,1
"Dawa ya homa","Childcare & Parenting","Children's Health & Medical Care","Nairobi Waldorf School",611.81,1
"Nyumba safi kabisa","Housing & Home Expenses","Home Cleaning Services","Crown Paints Kenya Plc",88.42,1
"Fundis charge","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Overdraft Fees",852.11,1
"Nairobi round trip","Travel & Vacation","Flights","Kibo Slopes Safaris",306.09,1
"Advocate consultation fees","Business & Work Expenses","Professional Services","Women Enterprise Fund",305.2,1
"Salon braids clients","Income & Earnings","Side Hustle Earnings","Gifts Received",578.01,1
"Dawa ya kienyeji","Health & Fitness","Alternative Medicine","Uzima",58.24,1
"Jewelry & Watches purchase","Shopping","Jewelry & Watches","Zara",455.43,1
"Fine ya traffic","Legal & Professional Services","Court Fees","KPMG Kenya Professional Services",715.71,1
"Website design","Income & Earnings","Freelance Income","Gifts Received",38.14,1
"Fundis charges","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Overdraft Fees",43.47,1
"Dog food","Pets & Animal Care","Pet Food & Treats","Mammals & More Pet Store",880.98,1
"Soko delivery","Financial Expenses","Credit Card Annual Fees","Spire Bank",403.67,1
"School shoes","Childcare & Parenting","Children's Clothing & Shoes","Postnatal & Parenting Counseling Kenya",680.03,1
"Project Management Fees","Education & Learning","Professional Certifications","iHub Nairobi",841.6,1
"Maji safi","Utilities","Water","DStv",399.03,1
"Umeme supply","Utilities","Electricity","KenolKobil",257.3,1
"Watoto support","Gifts & Donations","Charitable Donations","Giraffe Centre Community Outreach",863.48,1
"Pension top-up","Financial Expenses","Retirement Savings","Middle East Bank Kenya",250.46,1
"Noahs Vitz hire","Travel & Vacation","Car Rentals","JRV Travel Ltd",922.52,1
"Mama mboga","Income & Earnings","Side Hustle Earnings","Refunds",312.07,1
"Bodaboda fare","Transportation","Taxi & Ride-sharing","Citi Hoppa",225.32,1
"Church harambee tithing","Gifts & Donations","Fundraisers & Contributions","WildlifeDirect",269.34,1
"Holiday Gifts purchase","Gifts & Donations","Holiday Gifts","New Life Home Trust Kenya",921.44,1
"Accent rug","Shopping","Home Decor & Furnishings","Moyale Mall",662.44,1
"Pizza delivery guy","Gifts & Donations","Tips & Gratuities","World Concern Kenya",836.83,1
"Dog food kibble","Pets & Animal Care","Pet Food & Treats","Canine Obedience School Kenya",936.04,1
"Home loan","Housing & Home Expenses","Mortgage Payments","Galaxy Paints & Coating Co. Ltd",364.18,1
"Sinus relief tabs","Health & Fitness","Over-the-Counter Medicines","Mediheal Group of Hospitals",810.19,1
"Filing fee","Legal & Professional Services","Court Fees","Cybersecurity & IT Compliance Law Kenya",518.25,1
"Fade and beard","Personal Care & Grooming","Haircuts & Barber Services","Bath & Body Works Kenya",430.81,1
"Yankees game tix","Leisure & Entertainment","Sporting Events","Anthony 'Ty' Ngachira Comedy",599.75,1
"Adobe Creative Cloud","Business & Work Expenses","Software & SaaS Subscriptions","Slack Kenya",62.8,1
"Sales team incentive","Income & Earnings","Bonuses & Commissions","Lottery Winnings",260.03,1
"Domain renewal fee","Business & Work Expenses","Website Hosting & Domains","Strathmore Business School",195.87,1
"Spicy chicken sandwich","Food & Dining","Fast Food","Kipungani Explorer Restaurant",112.2,1
"Music streaming royalties","Income & Earnings","Royalties & Licensing Income","Refunds",791.81,1
"Saturday babysitting hours","Childcare & Parenting","Babysitting & Nanny Services","Children's Bookstore Nairobi",520.22,1
"Pizza night","Food & Dining","Takeout & Delivery","Haandi Restaurant",297.13,1
"Vaccine appointment copay","Childcare & Parenting","Children's Health & Medical Care","Pre-school Teacher Training Kenya",460.83,1
"Studio appointment deposit","Personal Care & Grooming","Tattoos & Piercings","Nairobi Nail Co.",336.84,1
"Pizza delivery guy","Gifts & Donations","Tips & Gratuities","The Nairobi Hospice",585.89,1
"Math tutoring monthly","Education & Learning","Educational Subscriptions","Light Academy",662.3,1
"Board game night","Childcare & Parenting","Kids' Toys & Games","Rusinga Kindergarten",320.15,1
"Board game night","Childcare & Parenting","Kids' Toys & Games","Toy World Kenya",641.72,1
"Fidos bath","Pets & Animal Care","Grooming & Pet Spa Services","Urban Pets Kenya",15.27,1
"Scooter weekend rental","Transportation","Bike & Scooter Rentals","Simba Colt Motors",442.03,1
"Weekly church offering","Gifts & Donations","Religious Donations","WE Charity Kenya",915.23,1
"PMP exam fee","Education & Learning","Professional Certifications","Rusinga School",493.05,1
"SAT registration fee","Education & Learning","Test Preparation & Exams Fees","NEMIS Kenya",606.13,1
"Laptop repair","Income & Earnings","Refunds & Rebates","YouTube Ad Revenue",334.89,1
"Wireless mouse purchase","Shopping","Electronics & Gadgets","Prestige Plaza",680.96,1
"Holiday Gifts purchase","Gifts & Donations","Holiday Gifts","Africa Cancer Foundation",970.53,1
"Books & Magazines purchase","Leisure & Entertainment","Books & Magazines","Safaricom International Jazz Festival",19.63,1
"Freelancer Payments purchase","Business & Work Expenses","Freelancer Payments","Kenya National Chamber of Commerce and Industry",427.03,1
"Fidos weekend stay","Pets & Animal Care","Pet Boarding & Sitting","Pet Boarding Services Nairobi",209.5,1
"HBO Max renewal","Utilities","Cable & Streaming Services","Kenya Shipping Agents Association (KSAA)",253.2,1
"Domain renewal fee","Business & Work Expenses","Website Hosting & Domains","Hootsuite Kenya",790.55,1
"Dog food bag","Pets & Animal Care","Pet Food & Treats","Kenya Veterinary Supplies",146.21,1
"Gym monthly fee","Miscellaneous & Unexpected Expenses","Subscriptions & Memberships","Repairs",357.05,1
"State income tax","Financial Expenses","Taxes","KWFT Microfinance Bank",913.54,1
"Hulu subscription charge","Utilities","Cable & Streaming Services","Kenya Fisheries Service",311.97,1
"Whale watching trip","Travel & Vacation","Tours & Excursions","Kimbilio Lodge",569.99,1
"Building permit fee","Legal & Professional Services","Licensing & Permits","Iseme Kamau & Maema Advocates",409.13,1
"Dog food bag","Shopping","Pet Supplies","The Hub Karen",824.63,1
"Alarm monitoring fee","Housing & Home Expenses","Home Security Systems","Hatari Security Services Ltd",787.84,1
"Neck pillow purchase","Travel & Vacation","Travel Accessories","Spot Kenya Safaris",939.82,1
"Movers deposit downpayment","Housing & Home Expenses","Moving & Relocation","Arrow Pest Control and Fumigation Company",643.31,1
"Defective toaster oven","Income & Earnings","Refunds & Rebates","Passive Income",393.79,1
"Spicy chicken sandwich","Food & Dining","Fast Food","Forodhani House Restaurant",1026.8,1
"Dog food kibble","Pets & Animal Care","Pet Food & Treats","Aquarium World Nairobi",28.53,1
"Babysitting & Nanny Services purchase","Childcare & Parenting","Babysitting & Nanny Services","Junior Scholars Academy",879.4,1
"Liability policy premium","Business & Work Expenses","Business Insurance","Youth Enterprise Development Fund",205.28,1
"Fade and beard","Personal Care & Grooming","Haircuts & Barber Services","Bavy Naturals",54.86,1
"Fitness monthly fee","Health & Fitness","Gym Memberships","Tenwek Hospital",34.89,1
"Fall semester tuition","Education & Learning","Tuition Fees","Great Lakes University of Kisumu",315.25,1
"Deep tissue massage","Personal Care & Grooming","Spas & Massages","The Perfume Lounge",371.91,1
"Fitness club renewal","Health & Fitness","Gym Memberships","Smart Gyms",401.18,1
"Dog food bag","Shopping","Pet Supplies","H&M",743.8,1
"Car renewal fees","Transportation","Vehicle Registration & Licensing","Didi",14.37,1
"Tax filing","Legal & Professional Services","Tax Preparation Services","Kenya Law Reports",835.1,1
"Dog walking money","Income & Earnings","Side Hustle Earnings","YouTube Ad Revenue",927.65,1
"Laptop repair","Income & Earnings","Refunds & Rebates","Salary",240.95,1
"Weekend car rental","Travel & Vacation","Car Rentals","Acacia Safaris (K) Ltd",934.19,1
"Wallet replacement","Miscellaneous & Unexpected Expenses","Lost or Stolen Items","Repairs",103.67,1
"Sarahs school fees","Childcare & Parenting","Daycare & Preschool Fees","Kenya Pediatric Association",666.97,1
"Stock dividend reinvest","Income & Earnings","Investment Income","Gifts Received",711.55,1
"Hotels & Lodging purchase","Travel & Vacation","Hotels & Lodging","Intrepid Travel",762.79,1
"Concerts & Live Events purchase","Leisure & Entertainment","Concerts & Live Events","Ebru TV Kenya",497.38,1
"Overdraft protection","Financial Expenses","Bank Fees","PesaPal",304.13,1
"Roundtrip to Miami","Transportation","Airfare & Flights","Smartbox Courier & Fulfillment",130.74,1
"Logo design","Business & Work Expenses","Freelancer Payments","Co-op Bank Bizwise",506.46,1
"Fitness club renewal","Health & Fitness","Gym Memberships","Angsana Spa",610.03,1
"Fidos weekend stay","Pets & Animal Care","Pet Boarding & Sitting","Pets & More Kenya",801.04,1
"Fiber internet bill","Utilities","Internet Service","Kenya National Bureau of Statistics (KNBS)",254.8,1
"New ear piercing","Personal Care & Grooming","Tattoos & Piercings","Beauty Booth Kenya",368.22,1
"School bake sale","Gifts & Donations","Fundraisers & Contributions","SOS Children's Villages Kenya",687.4,1
"Building block set","Childcare & Parenting","Kids' Toys & Games","The Toy Store Kenya",870.44,1
"Paintball gear","Leisure & Entertainment","Hobbies","Spotify",477.92,1
"Portfolio review session","Legal & Professional Services","Financial Advisors","Oil,Gas & Energy Law Kenya",265.52,1
"Home loan","Housing & Home Expenses","Mortgage Payments","Basco Paints",555.97,1
"Eiffel Tower keychain","Travel & Vacation","Souvenirs & Gifts from Travel","Expeditions Maasai Safaris",326.7,1
"Train monthly pass","Transportation","Public Transit","Offshore Global Logistics Ltd.",529.95,1
"Liability policy renewal","Business & Work Expenses","Business Insurance","Kenya Climate Innovation Center",14.0,1
"Lawyer Fees purchase","Legal & Professional Services","Lawyer Fees","BDO East Africa Legal & Advisory Services",206.47,1
"Pet Toys & Accessories purchase","Pets & Animal Care","Pet Toys & Accessories","Feline Friends Kenya",88.57,1
"Weekend hotel stay","Travel & Vacation","Hotels & Lodging","Bountiful Safaris & Tours",45.1,1
"Board game night","Childcare & Parenting","Kids' Toys & Games","Giggles & Smiles Daycare",730.31,1
"Fidos annual shots","Pets & Animal Care","Veterinary Bills & Pet Insurance","Feline Friends Kenya",629.92,1
"Lunch with client","Business & Work Expenses","Client Meals & Entertainment","Canva Pro Kenya",851.55,1
"Childs doctor visit","Childcare & Parenting","Children's Health & Medical Care","Smiley Kids Boutique",808.58,1
"Notebook and pens","Shopping","Books & Stationery","Maasai Market",476.61,1
"GRE registration fee","Education & Learning","Test Preparation & Exams Fees","Kiriri Women’s University of Science and Technology",240.33,1
"Portfolio review meeting","Legal & Professional Services","Financial Advisors","Munyao Muthama & Kashindi Advocates",532.12,1
"Mortgage payment auto","Financial Expenses","Loan Repayments","Imperial Bank",704.22,1
"Therapy appointment co-pay","Health & Fitness","Mental Health Therapy","Coast General Teaching & Referral Hospital",385.54,1
"Legal consultation fee","Business & Work Expenses","Professional Services","SME Support Centre Kenya",137.77,1
"Loan auto-debit","Education & Learning","Student Loans Repayment","Peponi School",560.41,1
"Bottled spring water","Utilities","Water","Kenya National Highways Authority (KeNHA)",713.34,1
"Highway gas fill","Transportation","Fuel & Gasoline","Kenya Civil Aviation Authority",411.59,1
"Night face serum","Personal Care & Grooming","Skincare & Cosmetics","SuzieBeauty",177.66,1
"Movie rental","Leisure & Entertainment","Streaming Services","Radio Jambo",100.97,1
"Train monthly pass","Transportation","Public Transit","Toyota Kenya Ltd.",563.54,1
"Blue Apron delivery","Food & Dining","Meal Kits & Subscriptions","The Lord Erroll Gourmet Restaurant",815.96,1
"Birthday present","Gifts & Donations","Personal Gifts","Hope Alive Kenya",296.26,1
"Weekend getaway room","Travel & Vacation","Hotels & Lodging","Bienvenido Kenya Tours and Safaris",535.86,1
"Acrylic paint set","Shopping","Hobby & Craft Supplies","Kitale Mega Centre",870.69,1
"Curbside recycling pickup","Utilities","Waste Management & Recycling","Kenya Investment Authority (KenInvest)",498.95,1
"Card annual fee","Financial Expenses","Credit Card Annual Fees","Stanbic Bank Kenya",393.02,1
"June apartment rent","Housing & Home Expenses","Rent","Senaca East Africa Limited",951.91,1
"Sarahs tuition","Childcare & Parenting","Daycare & Preschool Fees","Baby Love Store",464.81,1
"Roundtrip to Miami","Transportation","Airfare & Flights","Taimba Limited",909.65,1
"Gym monthly fee","Miscellaneous & Unexpected Expenses","Subscriptions & Memberships","Repairs",453.41,1
"Legal consultation fee","Business & Work Expenses","Professional Services","Trello Kenya",464.54,1
"Deep house cleaning","Housing & Home Expenses","Home Cleaning Services","Nasib Industrial Products Ltd",806.02,1
"401k contribution","Financial Expenses","Retirement Savings","SMEP Microfinance Bank",228.27,1
"Theater & Performing Arts purchase","Leisure & Entertainment","Theater & Performing Arts","Hot 96 FM Kenya",475.46,1
"Clothing & Accessories purchase","Shopping","Clothing & Accessories","Foschini",181.66,1
"Mortgage principal paid","Financial Expenses","Loan Repayments","National Bank of Kenya",947.91,1
"Sales team commission","Income & Earnings","Bonuses & Commissions","YouTube Ad Revenue",50.03,1
"Roth IRA contribution","Financial Expenses","Investment Contributions","Yehu Microfinance Services",800.58,1
"Hulu subscription payment","Utilities","Cable & Streaming Services","Kenya Sugar Board",754.67,1
"Weekend hotel stay","Travel & Vacation","Hotels & Lodging","Wasili Kenya Safaris",136.85,1
"Leaky faucet fixed","Housing & Home Expenses","Home Maintenance & Repairs","Luminous Cleaning Services",410.19,1
"Biweekly paycheck","Income & Earnings","Salary & Wages","Lottery Winnings",771.36,1
"Fidos weekend care","Pets & Animal Care","Pet Boarding & Sitting","Puppy Adoption Kenya",146.78,1
"Sparkling water bottle","Utilities","Water","Liquid Telecom Kenya",505.57,1
"Notebooks and pens","Education & Learning","School Supplies","Storymoja Africa",557.83,1
"Spicy chicken sandwich","Food & Dining","Fast Food","Lonno Lodge Restaurant",723.09,1
